title,description,department
A campus intruder is emitting toxic fumes,A campus intruder is emitting toxic fumes. in the chemistry lab.!!!,MEDICAL
a campus intruder is emitting toxic fumes,a campus intruder is emitting toxic fumes. in the electrical room.,MEDICAL
A campus intruder is emitting toxic fumes,A campus intruder is emitting toxic fumes. in the electrical room.!!!,MEDICAL
A campus intruder is emitting toxic fumes,A campus intruder is emitting toxic fumes. in the library basement.,MEDICAL
A campus intruder is emitting toxic fumes,A campus intruder is emitting toxic fumes. in the library basement.!!!,MEDICAL
A campus intruder is emitting toxic fumes,A campus intruder is emitting toxic fumes. in the main auditorium.,MEDICAL
A campus intruder is emitting toxic fumes,A campus intruder is emitting toxic fumes. in the main auditorium.!!!,MEDICAL
a campus intruder is emitting toxic fumes,a campus intruder is emitting toxic fumes. near the main gate.,MEDICAL
A campus intruder is posing a heavy threat,A campus intruder is posing a heavy threat.,ADMIN
a campus intruder is posing a heavy threat,a campus intruder is posing a heavy threat. in hostel b hallway.,ADMIN
a campus intruder is posing a heavy threat,a campus intruder is posing a heavy threat. in the cafeteria kitchen.,ADMIN
A campus intruder is posing a heavy threat,A campus intruder is posing a heavy threat. in the cafeteria kitchen.!!!,ADMIN
A campus intruder is posing a heavy threat,A campus intruder is posing a heavy threat. in the electrical room.,ADMIN
a campus intruder is posing a heavy threat,a campus intruder is posing a heavy threat. in the library basement.,LIBRARY
A campus intruder is posing a heavy threat,A campus intruder is posing a heavy threat. in the library basement.!!!,LIBRARY
A campus intruder is posing a heavy threat,A campus intruder is posing a heavy threat. in the main auditorium.,ADMIN
A campus intruder is posing a heavy threat,A campus intruder is posing a heavy threat. near the main gate.,ADMIN
A campus intruder is spreading rapidly,A campus intruder is spreading rapidly.,ADMIN
a campus intruder is spreading rapidly,a campus intruder is spreading rapidly. in hostel b hallway.,ADMIN
A campus intruder is spreading rapidly,A campus intruder is spreading rapidly. in Hostel B hallway.!!!,ADMIN
A campus intruder is spreading rapidly,A campus intruder is spreading rapidly. in the cafeteria kitchen.,ADMIN
A campus intruder is spreading rapidly,A campus intruder is spreading rapidly. in the cafeteria kitchen.!!!,ADMIN
A campus intruder is spreading rapidly,A campus intruder is spreading rapidly. in the chemistry lab.,ACADEMIC
A campus intruder is spreading rapidly,A campus intruder is spreading rapidly. in the electrical room.,ADMIN
a campus intruder is spreading rapidly,a campus intruder is spreading rapidly. in the library basement.,LIBRARY
a campus intruder is spreading rapidly,a campus intruder is spreading rapidly. in the main auditorium.,ADMIN
A campus intruder is spreading rapidly,A campus intruder is spreading rapidly. near the main gate.,ADMIN
A campus intruder just happened right now,A campus intruder just happened right now.,ADMIN
A campus intruder just happened right now,A campus intruder just happened right now. in Hostel B hallway.,ADMIN
a campus intruder just happened right now,a campus intruder just happened right now. in the cafeteria kitchen.,ADMIN
A campus intruder just happened right now,A campus intruder just happened right now. in the chemistry lab.,ACADEMIC
A campus intruder just happened right now,A campus intruder just happened right now. in the electrical room.,ADMIN
A campus intruder just happened right now,A campus intruder just happened right now. in the electrical room.!!!,ADMIN
a campus intruder just happened right now,a campus intruder just happened right now. in the library basement.,LIBRARY
A campus intruder just happened right now,A campus intruder just happened right now. in the main auditorium.,ADMIN
a campus intruder just happened right now,a campus intruder just happened right now. near the main gate.,ADMIN
A campus intruder needs immediate security dispatch,A campus intruder needs immediate security dispatch.,ADMIN
A campus intruder needs immediate security dispatch,A campus intruder needs immediate security dispatch. in Hostel B hallway.,ADMIN
A campus intruder needs immediate security dispatch,A campus intruder needs immediate security dispatch. in the cafeteria kitchen.,ADMIN
A campus intruder needs immediate security dispatch,A campus intruder needs immediate security dispatch. in the chemistry lab.,ACADEMIC
a campus intruder needs immediate security dispatch,a campus intruder needs immediate security dispatch. in the electrical room.,ADMIN
a campus intruder needs immediate security dispatch,a campus intruder needs immediate security dispatch. in the library basement.,LIBRARY
a campus intruder needs immediate security dispatch,a campus intruder needs immediate security dispatch. in the main auditorium.,ADMIN
a campus intruder needs immediate security dispatch,a campus intruder needs immediate security dispatch. near the main gate.,ADMIN
A campus intruder requires immediate an ambulance,A campus intruder requires immediate an ambulance.,MEDICAL
A campus intruder requires immediate an ambulance,A campus intruder requires immediate an ambulance. in the cafeteria kitchen.,MEDICAL
a campus intruder requires immediate an ambulance,a campus intruder requires immediate an ambulance. in the chemistry lab.,MEDICAL
a campus intruder requires immediate an ambulance,a campus intruder requires immediate an ambulance. in the electrical room.,MEDICAL
A campus intruder requires immediate an ambulance,A campus intruder requires immediate an ambulance. in the electrical room.!!!,MEDICAL
a campus intruder requires immediate an ambulance,a campus intruder requires immediate an ambulance. in the library basement.,MEDICAL
A campus intruder requires immediate an ambulance,A campus intruder requires immediate an ambulance. in the main auditorium.,MEDICAL
A campus intruder requires immediate an ambulance,A campus intruder requires immediate an ambulance. in the main auditorium.!!!,MEDICAL
A campus intruder requires immediate an ambulance,A campus intruder requires immediate an ambulance. near the main gate.,MEDICAL
A campus intruder requires immediate an ambulance,A campus intruder requires immediate an ambulance. near the main gate.!!!,MEDICAL
A dangerous gas leak broke out,A dangerous gas leak broke out.,ADMIN
A dangerous gas leak broke out,A dangerous gas leak broke out. in Hostel B hallway.,ADMIN
A dangerous gas leak broke out,A dangerous gas leak broke out. in the cafeteria kitchen.,ADMIN
A dangerous gas leak broke out,A dangerous gas leak broke out. in the chemistry lab.,ACADEMIC
A dangerous gas leak broke out,A dangerous gas leak broke out. in the electrical room.,ADMIN
A dangerous gas leak broke out,A dangerous gas leak broke out. in the electrical room.!!!,ADMIN
A dangerous gas leak broke out,A dangerous gas leak broke out. in the library basement.,LIBRARY
A dangerous gas leak broke out,A dangerous gas leak broke out. near the main gate.,ADMIN
A dangerous gas leak caused serious injuries,A dangerous gas leak caused serious injuries.,MEDICAL
A dangerous gas leak caused serious injuries,A dangerous gas leak caused serious injuries. in Hostel B hallway.,MEDICAL
A dangerous gas leak caused serious injuries,A dangerous gas leak caused serious injuries. in Hostel B hallway.!!!,MEDICAL
A dangerous gas leak caused serious injuries,A dangerous gas leak caused serious injuries. in the cafeteria kitchen.!!!,MEDICAL
A dangerous gas leak caused serious injuries,A dangerous gas leak caused serious injuries. in the chemistry lab.,MEDICAL
A dangerous gas leak caused serious injuries,A dangerous gas leak caused serious injuries. in the chemistry lab.!!!,MEDICAL
a dangerous gas leak caused serious injuries,a dangerous gas leak caused serious injuries. in the electrical room.,MEDICAL
A dangerous gas leak caused serious injuries,A dangerous gas leak caused serious injuries. in the electrical room.!!!,MEDICAL
A dangerous gas leak caused serious injuries,A dangerous gas leak caused serious injuries. in the library basement.,MEDICAL
A dangerous gas leak caused serious injuries,A dangerous gas leak caused serious injuries. in the main auditorium.,MEDICAL
A dangerous gas leak caused serious injuries,A dangerous gas leak caused serious injuries. in the main auditorium.!!!,MEDICAL
A dangerous gas leak is completely out of control,A dangerous gas leak is completely out of control.,ADMIN
a dangerous gas leak is completely out of control,a dangerous gas leak is completely out of control. in hostel b hallway.,ADMIN
a dangerous gas leak is completely out of control,a dangerous gas leak is completely out of control. in the cafeteria kitchen.,ADMIN
a dangerous gas leak is completely out of control,a dangerous gas leak is completely out of control. in the chemistry lab.,ACADEMIC
A dangerous gas leak is completely out of control,A dangerous gas leak is completely out of control. in the electrical room.,ADMIN
A dangerous gas leak is completely out of control,A dangerous gas leak is completely out of control. in the library basement.,LIBRARY
A dangerous gas leak is completely out of control,A dangerous gas leak is completely out of control. in the main auditorium.,ADMIN
a dangerous gas leak is completely out of control,a dangerous gas leak is completely out of control. near the main gate.,ADMIN
A dangerous gas leak is completely out of control,A dangerous gas leak is completely out of control. near the main gate.!!!,ADMIN
A dangerous gas leak is emitting toxic fumes,A dangerous gas leak is emitting toxic fumes.,MEDICAL
a dangerous gas leak is emitting toxic fumes,a dangerous gas leak is emitting toxic fumes. in hostel b hallway.,MEDICAL
A dangerous gas leak is emitting toxic fumes,A dangerous gas leak is emitting toxic fumes. in the cafeteria kitchen.,MEDICAL
A dangerous gas leak is emitting toxic fumes,A dangerous gas leak is emitting toxic fumes. in the chemistry lab.,MEDICAL
A dangerous gas leak is emitting toxic fumes,A dangerous gas leak is emitting toxic fumes. in the electrical room.,MEDICAL
A dangerous gas leak is emitting toxic fumes,A dangerous gas leak is emitting toxic fumes. in the library basement.,MEDICAL
A dangerous gas leak is emitting toxic fumes,A dangerous gas leak is emitting toxic fumes. in the main auditorium.,MEDICAL
A dangerous gas leak is posing a heavy threat,A dangerous gas leak is posing a heavy threat.,ADMIN
a dangerous gas leak is posing a heavy threat,a dangerous gas leak is posing a heavy threat. in hostel b hallway.,ADMIN
A dangerous gas leak is posing a heavy threat,A dangerous gas leak is posing a heavy threat. in the cafeteria kitchen.,ADMIN
A dangerous gas leak is posing a heavy threat,A dangerous gas leak is posing a heavy threat. in the cafeteria kitchen.!!!,ADMIN
a dangerous gas leak is posing a heavy threat,a dangerous gas leak is posing a heavy threat. in the chemistry lab.,ACADEMIC
A dangerous gas leak is posing a heavy threat,A dangerous gas leak is posing a heavy threat. in the electrical room.!!!,ADMIN
A dangerous gas leak is posing a heavy threat,A dangerous gas leak is posing a heavy threat. in the library basement.,LIBRARY
a dangerous gas leak is posing a heavy threat,a dangerous gas leak is posing a heavy threat. in the main auditorium.,ADMIN
A dangerous gas leak is posing a heavy threat,A dangerous gas leak is posing a heavy threat. near the main gate.,ADMIN
A dangerous gas leak is spreading rapidly,A dangerous gas leak is spreading rapidly.,ADMIN
A dangerous gas leak is spreading rapidly,A dangerous gas leak is spreading rapidly. in Hostel B hallway.,ADMIN
A dangerous gas leak is spreading rapidly,A dangerous gas leak is spreading rapidly. in the cafeteria kitchen.,ADMIN
A dangerous gas leak is spreading rapidly,A dangerous gas leak is spreading rapidly. in the cafeteria kitchen.!!!,ADMIN
a dangerous gas leak is spreading rapidly,a dangerous gas leak is spreading rapidly. in the chemistry lab.,ACADEMIC
A dangerous gas leak is spreading rapidly,A dangerous gas leak is spreading rapidly. in the chemistry lab.!!!,ACADEMIC
a dangerous gas leak is spreading rapidly,a dangerous gas leak is spreading rapidly. in the electrical room.,ADMIN
A dangerous gas leak is spreading rapidly,A dangerous gas leak is spreading rapidly. in the library basement.,LIBRARY
a dangerous gas leak is spreading rapidly,a dangerous gas leak is spreading rapidly. near the main gate.,ADMIN
A dangerous gas leak is spreading rapidly,A dangerous gas leak is spreading rapidly. near the main gate.!!!,ADMIN
A dangerous gas leak just happened right now,A dangerous gas leak just happened right now.,ADMIN
A dangerous gas leak just happened right now,A dangerous gas leak just happened right now. in Hostel B hallway.,ADMIN
A dangerous gas leak just happened right now,A dangerous gas leak just happened right now. in the cafeteria kitchen.,ADMIN
a dangerous gas leak just happened right now,a dangerous gas leak just happened right now. in the chemistry lab.,ACADEMIC
A dangerous gas leak just happened right now,A dangerous gas leak just happened right now. in the chemistry lab.!!!,ACADEMIC
A dangerous gas leak just happened right now,A dangerous gas leak just happened right now. in the electrical room.,ADMIN
a dangerous gas leak just happened right now,a dangerous gas leak just happened right now. in the library basement.,LIBRARY
A dangerous gas leak just happened right now,A dangerous gas leak just happened right now. in the library basement.!!!,LIBRARY
A dangerous gas leak just happened right now,A dangerous gas leak just happened right now. in the main auditorium.,ADMIN
a dangerous gas leak just happened right now,a dangerous gas leak just happened right now. near the main gate.,ADMIN
A dangerous gas leak needs immediate security dispatch,A dangerous gas leak needs immediate security dispatch.,ADMIN
A dangerous gas leak needs immediate security dispatch,A dangerous gas leak needs immediate security dispatch. in Hostel B hallway.,ADMIN
A dangerous gas leak needs immediate security dispatch,A dangerous gas leak needs immediate security dispatch. in the chemistry lab.,ACADEMIC
A dangerous gas leak needs immediate security dispatch,A dangerous gas leak needs immediate security dispatch. in the electrical room.!!!,ADMIN
A dangerous gas leak needs immediate security dispatch,A dangerous gas leak needs immediate security dispatch. in the library basement.,LIBRARY
A dangerous gas leak needs immediate security dispatch,A dangerous gas leak needs immediate security dispatch. in the main auditorium.,ADMIN
A dangerous gas leak needs immediate security dispatch,A dangerous gas leak needs immediate security dispatch. near the main gate.!!!,ADMIN
A dangerous gas leak requires immediate an ambulance,A dangerous gas leak requires immediate an ambulance.,MEDICAL
A dangerous gas leak requires immediate an ambulance,A dangerous gas leak requires immediate an ambulance. in Hostel B hallway.,MEDICAL
A dangerous gas leak requires immediate an ambulance,A dangerous gas leak requires immediate an ambulance. in the cafeteria kitchen.,MEDICAL
a dangerous gas leak requires immediate an ambulance,a dangerous gas leak requires immediate an ambulance. in the chemistry lab.,MEDICAL
A dangerous gas leak requires immediate an ambulance,A dangerous gas leak requires immediate an ambulance. in the electrical room.,MEDICAL
A dangerous gas leak requires immediate an ambulance,A dangerous gas leak requires immediate an ambulance. in the library basement.,MEDICAL
a dangerous gas leak requires immediate an ambulance,a dangerous gas leak requires immediate an ambulance. in the main auditorium.,MEDICAL
A dangerous gas leak requires immediate an ambulance,A dangerous gas leak requires immediate an ambulance. near the main gate.,MEDICAL
A huge electrical short circuit broke out,A huge electrical short circuit broke out.,ADMIN
A huge electrical short circuit broke out,A huge electrical short circuit broke out. in Hostel B hallway.,ADMIN
A huge electrical short circuit broke out,A huge electrical short circuit broke out. in Hostel B hallway.!!!,ADMIN
A huge electrical short circuit broke out,A huge electrical short circuit broke out. in the cafeteria kitchen.,ADMIN
A huge electrical short circuit broke out,A huge electrical short circuit broke out. in the cafeteria kitchen.!!!,ADMIN
A huge electrical short circuit broke out,A huge electrical short circuit broke out. in the chemistry lab.,ACADEMIC
A huge electrical short circuit broke out,A huge electrical short circuit broke out. in the electrical room.,ADMIN
A huge electrical short circuit broke out,A huge electrical short circuit broke out. in the library basement.,LIBRARY
A huge electrical short circuit broke out,A huge electrical short circuit broke out. in the main auditorium.,ADMIN
A huge electrical short circuit broke out,A huge electrical short circuit broke out. near the main gate.,ADMIN
A huge electrical short circuit broke out,A huge electrical short circuit broke out. near the main gate.!!!,ADMIN
A huge electrical short circuit caused serious injuries,A huge electrical short circuit caused serious injuries.,MEDICAL
A huge electrical short circuit caused serious injuries,A huge electrical short circuit caused serious injuries. in Hostel B hallway.,MEDICAL
A huge electrical short circuit caused serious injuries,A huge electrical short circuit caused serious injuries. in the cafeteria kitchen.,MEDICAL
A huge electrical short circuit caused serious injuries,A huge electrical short circuit caused serious injuries. in the chemistry lab.!!!,MEDICAL
A huge electrical short circuit caused serious injuries,A huge electrical short circuit caused serious injuries. in the library basement.,MEDICAL
a huge electrical short circuit caused serious injuries,a huge electrical short circuit caused serious injuries. near the main gate.,MEDICAL
A huge electrical short circuit is completely out of control,A huge electrical short circuit is completely out of control.,ADMIN
a huge electrical short circuit is completely out of control,a huge electrical short circuit is completely out of control. in hostel b hallway.,ADMIN
A huge electrical short circuit is completely out of control,A huge electrical short circuit is completely out of control. in the cafeteria kitchen.,ADMIN
A huge electrical short circuit is completely out of control,A huge electrical short circuit is completely out of control. in the cafeteria kitchen.!!!,ADMIN
A huge electrical short circuit is completely out of control,A huge electrical short circuit is completely out of control. in the chemistry lab.,ACADEMIC
A huge electrical short circuit is completely out of control,A huge electrical short circuit is completely out of control. in the electrical room.,ADMIN
A huge electrical short circuit is completely out of control,A huge electrical short circuit is completely out of control. in the library basement.,LIBRARY
A huge electrical short circuit is completely out of control,A huge electrical short circuit is completely out of control. in the main auditorium.,ADMIN
A huge electrical short circuit is completely out of control,A huge electrical short circuit is completely out of control. in the main auditorium.!!!,ADMIN
a huge electrical short circuit is completely out of control,a huge electrical short circuit is completely out of control. near the main gate.,ADMIN
A huge electrical short circuit is completely out of control,A huge electrical short circuit is completely out of control. near the main gate.!!!,ADMIN
A huge electrical short circuit is emitting toxic fumes,A huge electrical short circuit is emitting toxic fumes.,MEDICAL
A huge electrical short circuit is emitting toxic fumes,A huge electrical short circuit is emitting toxic fumes. in Hostel B hallway.,MEDICAL
A huge electrical short circuit is emitting toxic fumes,A huge electrical short circuit is emitting toxic fumes. in the cafeteria kitchen.,MEDICAL
a huge electrical short circuit is emitting toxic fumes,a huge electrical short circuit is emitting toxic fumes. in the chemistry lab.,MEDICAL
A huge electrical short circuit is emitting toxic fumes,A huge electrical short circuit is emitting toxic fumes. in the electrical room.,MEDICAL
A huge electrical short circuit is emitting toxic fumes,A huge electrical short circuit is emitting toxic fumes. in the electrical room.!!!,MEDICAL
A huge electrical short circuit is emitting toxic fumes,A huge electrical short circuit is emitting toxic fumes. in the main auditorium.,MEDICAL
A huge electrical short circuit is emitting toxic fumes,A huge electrical short circuit is emitting toxic fumes. in the main auditorium.!!!,MEDICAL
a huge electrical short circuit is emitting toxic fumes,a huge electrical short circuit is emitting toxic fumes. near the main gate.,MEDICAL
A huge electrical short circuit is emitting toxic fumes,A huge electrical short circuit is emitting toxic fumes. near the main gate.!!!,MEDICAL
A huge electrical short circuit is posing a heavy threat,A huge electrical short circuit is posing a heavy threat.,ADMIN
A huge electrical short circuit is posing a heavy threat,A huge electrical short circuit is posing a heavy threat. in the cafeteria kitchen.,ADMIN
a huge electrical short circuit is posing a heavy threat,a huge electrical short circuit is posing a heavy threat. in the chemistry lab.,ACADEMIC
A huge electrical short circuit is posing a heavy threat,A huge electrical short circuit is posing a heavy threat. in the chemistry lab.!!!,ACADEMIC
a huge electrical short circuit is posing a heavy threat,a huge electrical short circuit is posing a heavy threat. in the library basement.,LIBRARY
A huge electrical short circuit is posing a heavy threat,A huge electrical short circuit is posing a heavy threat. in the library basement.!!!,LIBRARY
a huge electrical short circuit is posing a heavy threat,a huge electrical short circuit is posing a heavy threat. in the main auditorium.,ADMIN
A huge electrical short circuit is posing a heavy threat,A huge electrical short circuit is posing a heavy threat. near the main gate.,ADMIN
A huge electrical short circuit is spreading rapidly,A huge electrical short circuit is spreading rapidly.,ADMIN
A huge electrical short circuit is spreading rapidly,A huge electrical short circuit is spreading rapidly. in Hostel B hallway.,ADMIN
A huge electrical short circuit is spreading rapidly,A huge electrical short circuit is spreading rapidly. in Hostel B hallway.!!!,ADMIN
a huge electrical short circuit is spreading rapidly,a huge electrical short circuit is spreading rapidly. in the cafeteria kitchen.,ADMIN
A huge electrical short circuit is spreading rapidly,A huge electrical short circuit is spreading rapidly. in the chemistry lab.,ACADEMIC
A huge electrical short circuit is spreading rapidly,A huge electrical short circuit is spreading rapidly. in the library basement.,LIBRARY
A huge electrical short circuit is spreading rapidly,A huge electrical short circuit is spreading rapidly. in the main auditorium.,ADMIN
A huge electrical short circuit is spreading rapidly,A huge electrical short circuit is spreading rapidly. in the main auditorium.!!!,ADMIN
A huge electrical short circuit is spreading rapidly,A huge electrical short circuit is spreading rapidly. near the main gate.,ADMIN
A huge electrical short circuit just happened right now,A huge electrical short circuit just happened right now.,ADMIN
A huge electrical short circuit just happened right now,A huge electrical short circuit just happened right now. in Hostel B hallway.,ADMIN
a huge electrical short circuit just happened right now,a huge electrical short circuit just happened right now. in the cafeteria kitchen.,ADMIN
A huge electrical short circuit just happened right now,A huge electrical short circuit just happened right now. in the chemistry lab.,ACADEMIC
A huge electrical short circuit just happened right now,A huge electrical short circuit just happened right now. in the electrical room.,ADMIN
A huge electrical short circuit just happened right now,A huge electrical short circuit just happened right now. in the electrical room.!!!,ADMIN
a huge electrical short circuit just happened right now,a huge electrical short circuit just happened right now. in the library basement.,LIBRARY
A huge electrical short circuit just happened right now,A huge electrical short circuit just happened right now. in the main auditorium.,ADMIN
A huge electrical short circuit just happened right now,A huge electrical short circuit just happened right now. near the main gate.,ADMIN
A huge electrical short circuit just happened right now,A huge electrical short circuit just happened right now. near the main gate.!!!,ADMIN
A huge electrical short circuit needs immediate security dispatch,A huge electrical short circuit needs immediate security dispatch.,ADMIN
A huge electrical short circuit needs immediate security dispatch,A huge electrical short circuit needs immediate security dispatch. in the cafeteria kitchen.,ADMIN
A huge electrical short circuit needs immediate security dispatch,A huge electrical short circuit needs immediate security dispatch. in the cafeteria kitchen.!!!,ADMIN
A huge electrical short circuit needs immediate security dispatch,A huge electrical short circuit needs immediate security dispatch. in the electrical room.,ADMIN
A huge electrical short circuit needs immediate security dispatch,A huge electrical short circuit needs immediate security dispatch. in the library basement.,LIBRARY
a huge electrical short circuit needs immediate security dispatch,a huge electrical short circuit needs immediate security dispatch. in the main auditorium.,ADMIN
A huge electrical short circuit needs immediate security dispatch,A huge electrical short circuit needs immediate security dispatch. in the main auditorium.!!!,ADMIN
A huge electrical short circuit needs immediate security dispatch,A huge electrical short circuit needs immediate security dispatch. near the main gate.,ADMIN
A huge electrical short circuit requires immediate an ambulance,A huge electrical short circuit requires immediate an ambulance.,MEDICAL
A huge electrical short circuit requires immediate an ambulance,A huge electrical short circuit requires immediate an ambulance. in Hostel B hallway.,MEDICAL
A huge electrical short circuit requires immediate an ambulance,A huge electrical short circuit requires immediate an ambulance. in Hostel B hallway.!!!,MEDICAL
a huge electrical short circuit requires immediate an ambulance,a huge electrical short circuit requires immediate an ambulance. in the cafeteria kitchen.,MEDICAL
A huge electrical short circuit requires immediate an ambulance,A huge electrical short circuit requires immediate an ambulance. in the chemistry lab.,MEDICAL
A huge electrical short circuit requires immediate an ambulance,A huge electrical short circuit requires immediate an ambulance. in the electrical room.,MEDICAL
A huge electrical short circuit requires immediate an ambulance,A huge electrical short circuit requires immediate an ambulance. in the library basement.,MEDICAL
A huge electrical short circuit requires immediate an ambulance,A huge electrical short circuit requires immediate an ambulance. in the library basement.!!!,MEDICAL
A huge electrical short circuit requires immediate an ambulance,A huge electrical short circuit requires immediate an ambulance. near the main gate.,MEDICAL
A massive fire broke out,A massive fire broke out.,ADMIN
A massive fire broke out,A massive fire broke out. in Hostel B hallway.,ADMIN
A massive fire broke out,A massive fire broke out. in the cafeteria kitchen.,ADMIN
a massive fire broke out,a massive fire broke out. in the chemistry lab.,ACADEMIC
A massive fire broke out,A massive fire broke out. in the chemistry lab.!!!,ACADEMIC
A massive fire broke out,A massive fire broke out. in the library basement.,LIBRARY
A massive fire broke out,A massive fire broke out. in the main auditorium.,ADMIN
A massive fire broke out,A massive fire broke out. near the main gate.,ADMIN
A massive fire caused serious injuries,A massive fire caused serious injuries.,MEDICAL
A massive fire caused serious injuries,A massive fire caused serious injuries. in Hostel B hallway.,MEDICAL
A massive fire caused serious injuries,A massive fire caused serious injuries. in the cafeteria kitchen.,MEDICAL
A massive fire caused serious injuries,A massive fire caused serious injuries. in the cafeteria kitchen.!!!,MEDICAL
A massive fire caused serious injuries,A massive fire caused serious injuries. in the chemistry lab.,MEDICAL
a massive fire caused serious injuries,a massive fire caused serious injuries. in the library basement.,MEDICAL
A massive fire caused serious injuries,A massive fire caused serious injuries. in the library basement.!!!,MEDICAL
a massive fire caused serious injuries,a massive fire caused serious injuries. in the main auditorium.,MEDICAL
A massive fire caused serious injuries,A massive fire caused serious injuries. in the main auditorium.!!!,MEDICAL
a massive fire caused serious injuries,a massive fire caused serious injuries. near the main gate.,MEDICAL
A massive fire is completely out of control,A massive fire is completely out of control.,ADMIN
A massive fire is completely out of control,A massive fire is completely out of control. in the cafeteria kitchen.,ADMIN
A massive fire is completely out of control,A massive fire is completely out of control. in the chemistry lab.,ACADEMIC
A massive fire is completely out of control,A massive fire is completely out of control. in the chemistry lab.!!!,ACADEMIC
A massive fire is completely out of control,A massive fire is completely out of control. in the electrical room.,ADMIN
A massive fire is completely out of control,A massive fire is completely out of control. in the library basement.,LIBRARY
A massive fire is completely out of control,A massive fire is completely out of control. in the main auditorium.,ADMIN
A massive fire is completely out of control,A massive fire is completely out of control. near the main gate.!!!,ADMIN
A massive fire is emitting toxic fumes,A massive fire is emitting toxic fumes.,MEDICAL
a massive fire is emitting toxic fumes,a massive fire is emitting toxic fumes. in hostel b hallway.,MEDICAL
A massive fire is emitting toxic fumes,A massive fire is emitting toxic fumes. in the cafeteria kitchen.,MEDICAL
a massive fire is emitting toxic fumes,a massive fire is emitting toxic fumes. in the chemistry lab.,MEDICAL
A massive fire is emitting toxic fumes,A massive fire is emitting toxic fumes. in the electrical room.,MEDICAL
A massive fire is emitting toxic fumes,A massive fire is emitting toxic fumes. in the electrical room.!!!,MEDICAL
A massive fire is emitting toxic fumes,A massive fire is emitting toxic fumes. in the library basement.,MEDICAL
A massive fire is emitting toxic fumes,A massive fire is emitting toxic fumes. in the library basement.!!!,MEDICAL
A massive fire is emitting toxic fumes,A massive fire is emitting toxic fumes. near the main gate.!!!,MEDICAL
A massive fire is posing a heavy threat,A massive fire is posing a heavy threat.,ADMIN
A massive fire is posing a heavy threat,A massive fire is posing a heavy threat. in Hostel B hallway.,ADMIN
A massive fire is posing a heavy threat,A massive fire is posing a heavy threat. in the cafeteria kitchen.,ADMIN
A massive fire is posing a heavy threat,A massive fire is posing a heavy threat. in the cafeteria kitchen.!!!,ADMIN
A massive fire is posing a heavy threat,A massive fire is posing a heavy threat. in the chemistry lab.,ACADEMIC
a massive fire is posing a heavy threat,a massive fire is posing a heavy threat. in the electrical room.,HOSTEL
